Ref-No.	Citation
533	Roquet, C., L. Saez, J. J. Aldasoro, A. Susanna, M. L. Alarcon, N. Garcia-Jacas (2008). Natural delineation, molecular phylogeny and floral evolution in Campanula. Systematic Botany 33(1): 203-217.
534	Roquet, C., I. Sanmartin, N. Garcia-Jacas, L. Saez, A. Susanna, N. Wikstrom, J. J. Aldasoro (2009). Reconstructing the history of Campanulaceae with a Bayesian approach to molecular dating and dispersal-vicariance analyses. Molecular Phylogenetics and Evolution 52(3): 575-587.
535	Rosa Maria Lo Presti and Christoph Oberprieler (2009). Evolutionary history, biogeography and eco-climatological differentiation of the genus <i>Anthemis</i> L. (Compositae, Anthemideae) in the circum-Mediterranean area. Journal of Biogeography 36(7): 1313-1332.
536	Rothacker, E. P. (2007). The primitive Epidendroideae (Orchidaceae): phylogeny, character evolution and the systematics of Psilochilus (Triphoreae). Ohio, Ohio State Univ. PhD Thesis.
537	Rothfels, C. J., A. Larsson, L. Y. Kuo, P. Korall, W. L. Chiou, K. M. Pryer (2012). Overcoming Deep Roots, Fast Rates, and Short Internodes to Resolve the Ancient Rapid Radiation of Eupolypod II Ferns. Systematic Biology 61(3): 490-509.
538	Rotter, D., K. V. Ambrose, F. C. Belanger (2010). Velvet bentgrass (Agrostis canina L.) is the likely ancestral diploid maternal parent of allotetraploid creeping bentgrass (Agrostis stolonifera L.). Genetic Resources and Crop Evolution 57(7): 1065-1077.
539	Rutschmann, F., T. Eriksson, K. A. Salim, E. Conti (2007). Assessing calibration uncertainty in molecular dating: The assignment of fossils to alternative calibration points. Systematic Biology 56(4): 591-608.
540	Rydin, C. and N. Wikström (2002). Phylogeny of  Isoetes  (Lycopsida): resolving basal relationships using  rbc L sequences. Taxon 51(1): 83-89.
541	Saarela, J. M., P. M. Peterson, R. M. Keane, J. Cayouette, S. W. Graham (2007). Molecular phylogenetics of Bromus (Poaceae: Pooideae) based on chlorplast and nuclear DNA sequence data. Aliso 23: 379-396.
542	Samuel, R., W. Gutermann, T. F. Stuessy, C. F. Ruas, H. W. Lack, K. Tremetsberger, S. Talavera, B. Hermanowski, F. Ehrendorfer (2006). Molecular phylogenetics reveals Leontodon (Asteraceae, Lactuceae) to be diphyletic. American Journal of Botany 93(8): 1193-1205.
543	Sanchez-Jimenez, I., G. A. Lazkov, O. Hidalgo, T. Garnatje (2010). Molecular systematics of Echinops L. (Asteraceae, Cynareae): A phylogeny based on ITS and trnL-trnF sequences with emphasis on sectional delimitation. Taxon 59(3): 698-708.
544	Sanchez, A., T. M. Schuster, J. M. Burke, K. A. Kron (2011). Taxonomy of Polygonoideae (Polygonaceae): A new tribal classification. Taxon 60(1): 151-160.
545	Sanchez, A., Tanja M. Schuster, Kathleen A. Kron (2009). A large-scale phylogeny of Polygonaceae based on molecular data. International Journal of Plant Sciences 170(8): 1044-1055.
546	Santos-Gally, R., P. Vargas, J. Arroyo (2011). Insights into Neogene Mediterranean biogeography based on phylogenetic relationships of mountain and lowland lineages of Narcissus (Amaryllidaceae). Journal of Biogeography: no-no.
547	Sanz, M., G. M. Schneeweiss, R. Vilatersana, J. Vallés (2011). Temporal origins and diversification of Artemisia and allies (Anthemideae, Asteraceae). Collectanea Botanica 30: 7-15.
548	Schaefer, H., C. Heibl, S. S. Renner (2009). Gourds afloat: a dated phylogeny reveals an Asian origin of the gourd family (Cucurbitaceae) and numerous oversea dispersal events. Proceedings of the Royal Society B-Biological Sciences 276(1658): 843-851.
549	Schaefer, H. and S. S. Renner (2011). Phylogenetic relationships in the order Cucurbitales and a new classification of the gourd family (Cucurbitaceae). Taxon 60(1): 122-138.
550	Schäferhoff, B., A. Fleischmann, E. Fischer, D. C. Albach, T. Borsch, G. Heubl, K. F. Müller (2010). Towards resolving Lamiales relationships: insights from rapidly evolving chloroplast sequences. BMC Evolutionary Biology 10.
551	Scheen, A. C., M. Bendiksby, O. Ryding, C. Mathiesen, V. A. Albert, C. Lindqvist (2010). Molecular phylogenetics, character evolution, and suprageneric classification of Lamioideae (Lamiaceae). Annals of the Missouri Botanical Garden 97(2): 191-217.
552	Scheen, A. C., C. Brochmann, A. K. Brysting, R. Elven, A. Morris, D. E. Soltis, P. S. Soltis, V. A. Albert (2004). Northern hemisphere biogeography of Cerastium (Caryophyllaceae): insights from phylogenetic analysis of noncoding plastidnucleotide sequences. American Journal of Botany 91(6): 943-952.
553	Schenk, J. J. and L. Hufford (2010). Effects of substitution models on divergence time estimates: Simulations and an empirical study of model uncertainty using Cornales. Systematic Botany 35(3): 578-592.
554	Schenk, M. F., C. N. Thienpont, W. J. M. Koopman, L. Gilissen, M. J. M. Smulders (2008). Phylogenetic relationships in Betula (Betulaceae) based on AFLP markers. Tree Genetics & Genomes 4(4): 911-924.
555	Scheunert, A. and G. Heubl (2011). Phylogenetic relationships among New World Scrophularia L. (Scrophulariaceae): new insights inferred from DNA sequence data. Plant Systematics and Evolution 291(1): 69-89.
556	Schilling, E. E. (1997). Phylogenetic analysis of Helianthus (Asteraceae) based on chloroplast DNA restriction site data. TAG Theoretical and Applied Genetics 94(6): 925-933.
557	Schmidt, G. J. and E. E. Schilling (2000). Phylogeny and biogeography of Eupatorium (Asteraceae: Eupatorieae) based on nuclear ITS sequence data. American Journal of Botany 87(5): 716-726.
558	Schneeweiss, G. M., A. Colwell, J. M. Park, C. G. Jang, T. F. Stuessy (2004). Phylogeny of holoparasitic Orobanche (Orobanchaceae) inferred from nuclear ITS sequences. Molecular Phylogenetics and Evolution 30(2): 465-478.
559	Schneeweiss, G. M., P. Schönswetter, S. Kelso, H. Niklfeld (2004). Complex biogeographic patterns in Androsace (Primulaceae) and related genera: Evidence from phylogenetic analyses of nuclear internal transcribed spacer and plastid trnL-F sequences. Systematic Biology 53(6): 856-876.
560	Schneider, H., S. J. Russell, C. J. Cox, F. Bakker, S. Henderson, F. Rumsey, J. Barrett, M. Gibby, J. C. Vogel (2004). Chloroplast phylogeny of asplenioid ferns based on rbcL and trnL-F spacer sequences (Polypodiidae, Aspleniaceae) and its implications for biogeography. Systematic Botany 29(2): 260-274.
561	Schneider, H., E. Schuettpelz, K. M. Pryer, R. Cranfill, S. Magallon, R. Lupia (2004). Ferns diversified in the shadow of angiosperms. Nature 428(6982): 553-557.
562	Schuettpelz, E., H. Schneider, L. Huiet, M. D. Windham, K. M. Pryer (2007). A molecular phylogeny of the fern family Pteridaceae: Assessing overall relationships and the affinities of previously unsampled genera. Molecular Phylogenetics and Evolution 44(3): 1172-1185.
563	Schultheis, L. M. and M. J. Donoghue (2004). Molecular phylogeny and biogeography of Ribes (Grossulariaceae), with an emphasis on gooseberries (subg. Grossularia). Systematic Botany 29(1): 77-96.
564	Selvi, F., A. Papini, H. H. Hilger, M. Bigazzi, E. Nardi (2004). The phylogenetic relationships of Cynoglottis (Boraginaceae-Boragineae) inferred from ITS, 5.8S and trnL sequences. Plant Systematics and Evolution 246(3-4): 195-209.
565	Semerikov, V. L., H. Zhang, M. Sun, M. Lascoux (2003). Conflicting phylogenies of Larix (Pinaceae) based on cytoplasmic and nuclear DNA. Molecular Phylogenetics and Evolution 27(2): 173-184.
566	Sennblad, B. and B. Bremer (2002). Classification of Apocynaceae s.l. according to a new approach combining Linnaean and phylogenetic taxonomy. Systematic Biology 51(3): 389-409.
567	Senters, A. E. and D. E. Soltis (2003). Phylogenetic relationships in Ribes (Grossulariaceae) inferred from ITS sequence data. Taxon 52(1): 51-66.
568	Sessa, E. B., E. A. Zimmer, T. J. Givnish (2012). Phylogeny, divergence times, and historical biogeography of New World Dryopteris (Dryopteridaceae). American Journal of Botany 99(4): 730-750.
569	Simmons, M. P., M. J. McKenna, C. D. Bacon, K. Yakobson, J. J. Cappa, R. H. Archer, A. J. Ford (2012). Phylogeny of Celastraceae tribe Euonymeae inferred from morphological characters and nuclear and plastid genes. Molecular Phylogenetics and Evolution 62(1): 9-20.
570	Simmons, M. P., V. Savolainen, C. C. Clevinger, R. H. Archer, J. I. Davis (2001). Phylogeny of the Celastraceae inferred from 26S nuclear ribosomal DNA, phytochrome B, rbcL, atpB, and morphology. Molecular Phylogenetics and Evolution 19(3): 353-366.
571	Simon, M. F., R. Grether, L. P. de Queiroz, C. Skema, R. T. Pennington, C. E. Hughes (2009). Recent assembly of the Cerrado, a neotropical plant diversity hotspot, by in situ evolution of adaptations to fire. Proceedings of the National Academy of Sciences 106(48): 20359-20364.
572	Sloan, D. B., B. Oxelman, A. Rautenberg, D. R. Taylor (2009). Phylogenetic analysis of mitochondrial substitution rate variation in the angiosperm tribe Sileneae. BMC Evolutionary Biology 9: 260.
573	Slotte, T., A. Ceplitis, B. Neuffer, H. Hurka, M. Lascoux (2006). Intrageneric phylogeny of Capsella (Brassicaceae) and the origin of the tetraploid C-bursa-pastoris based on chloroplast and nuclear DNA sequences. American Journal of Botany 93(11): 1714-1724.
574	Smedmark, J. E. E. and T. Eriksson (2002). Phylogenetic relationships of Geum (Rosaceae) and relatives inferred from the nrITS and  trnL-trnF regions. Systematic Botany 27(2): 303-317.
575	Smedmark, J. E. E., T. Eriksson, B. Bremer (2005). Allopolyploid evolution in Geinae (Colurieae : Rosaceae) - building reticulate species trees from bifurcating gene trees. Organisms Diversity & Evolution 5(4): 275-283.
576	Smedmark, J. E. E., T. Eriksson, R. C. Evans, C. S. Campbell (2003). Ancient allopolyploid speciation in Geinae (Rosaceae): Evidence from nuclear granule-bound starch synthase (GBSSI) gene sequences. Systematic Biology 52(3): 374-385.
577	Smissen, R. D., J. C. Clement, P. J. Garnock-Jones, G. K. Chambers (2002). Subfamilial relationships within Caryophyllaceae as inferred from 5' ndhF sequences. American Journal of Botany 89(8): 1336-1341.
578	Smissen, R. D., P. J. Garnock-Jones, G. K. Chambers (2003). Phylogenetic analysis of ITS sequences suggests a Pliocene origin for the bipolar distribution of Scleranthus (Caryophyllaceae). Australian Systematic Botany 16(3): 301-315.
579	Smissen, R. D. and R. J. Garnock-Jones (2002). Relationships, classification and evolution of Scleranthus (Caryophyllaceae) as inferred from analysis of morphological characters. Botanical Journal of the Linnean Society 140(1): 15-29.
580	Smith, A. R., K. M. Pryer, E. Schuettpelz, P. Korall, H. Schneider, P. C. Wolf (2006). A classification for extant ferns. Taxon 55(3): 705-731.
581	Smith, C. I., O. Pellmyr, D. M. Althoff, M. Balcázar-Lara, J. Leebens-Mack, K. A. Segraves (2008). Pattern and timing of diversification in Yucca (Agavaceae): specialized pollination does not escalate rates of diversification. Proceedings of the Royal Society B: Biological Sciences 275(1632): 249-258.
582	Smith, S. A. (2009). Taking into account phylogenetic and divergence-time uncertainty in a parametric biogeographical analysis of the Northern Hemisphere plant clade Caprifolieae. Journal of Biogeography 36(12): 2324-2337.
583	Smith, S. A., J. M. Beaulieu, M. J. Donoghue (2010). An uncorrelated relaxed-clock analysis suggests an earlier origin for flowering plants. Proceedings of the National Academy of Sciences 107(13): 5897-5902.
584	Smith, S. A. and M. J. Donoghue (2010). Combining Historical Biogeography with Niche Modeling in the Caprifolium Clade of Lonicera (Caprifoliaceae, Dipsacales). Systematic Biology 59(3): 322-341.
585	Soliva, M., A. Kocyan, A. Widmer (2001). Molecular phylogenetics of the sexually deceptive orchid genus Ophrys (Orchidaceae) based on nuclear and chloroplast DNA sequences. Molecular Phylogenetics and Evolution 20: 78-88.
586	Soltis, D. E., R. K. Kuzoff, E. Conti, R. Gornall, K. Ferguson (1996). matK and  rbcL gene sequence data indicate that Saxifraga (Saxifragaceae) is polyphyletic. American Journal of Botany 83(3): 371-382.
587	Soltis, D. E., R. K. Kuzoff, M. E. Mort, M. Zanis, M. Fishbein, L. Hufford, J. Koontz, M. K. Arroyo (2001). Elucidating deep-level phylogenetic relationships in Saxifragaceae using sequences for six chloroplastic and nuclear DNA regions. Annals of the Missouri Botanical Garden 88(4): 669-693.
588	Soltis, D. E., S. A. Smith, N. Cellinese, K. J. Wurdack, D. C. Tank, S. F. Brockington, N. F. Refulio-Rodriguez, J. B. Walker, M. J. Moore, B. S. Carlsward, C. D. Bell, M. Latvis, S. Crawley, C. Black, D. Diouf, Z. X. Xi, C. A. Rushworth, M. A. Gitzendanner, K. J. Sytsma, Y. L. Qiu, K. W. Hilu, C. C. Davis, M. J. Sanderson, R. S. Beaman, R. G. Olmstead, W. S. Judd, M. J. Donoghue, P. S. Soltis (2011). ANGIOSPERM PHYLOGENY: 17 GENES, 640 TAXA. American Journal of Botany 98(4): 704-730.
589	Soltis, D. E., P. S. Soltis, M. J. Zanis (2002). Phylogeny of seed plants based on evidence from eight genes. American Journal of Botany 89(10): 1670-1681.
590	Soltis, D. E., M. Tago-Nakazawa, Q. Y. Xiang, S. Kawano, J. Murata, M. Wakabayashi, C. Hibsch-Jetter (2001). Phylogenetic relationships and evolution in Chrysosplenium (Saxifragaceae) based on matK sequence data. American Journal of Botany 88(5): 883-893.
591	Soza, V. L. and R. G. Olmstead (2010). Molecular systematics of tribe Rubieae (Rubiaceae): Evolution of major clades, development of leaf-like whorls, and biogeography. Taxon 59(3): 755-771.
592	Spalik, K. and S. R. Downie (2006). The evolutionary history of Sium sensu lato (Apiaceae): Dispersal, vicariance, and domestication as inferred from ITS rDNA phylogeny. American Journal of Botany 93(5): 747-761.
593	Spalik, K., S. R. Downie, M. F. Watson (2009). Generic delimitations within the Sium alliance (Apiaceae tribe Oenantheae) inferred from cpDNA rps16-5 ' trnK((UUU)) and nrDNA ITS sequences. Taxon 58(3): 735-748.
594	Spalik, K., M. Piwczynski, C. A. Danderson, R. Kurzyna-Mlynik, T. S. Bone, S. R. Downie (2010). Amphitropic amphiantarctic disjunctions in Apiaceae subfamily Apioideae. Journal of Biogeography 37(10): 1977-1994.
595	Spalik, K., J. P. Reduron, S. R. Downie (2004). The phylogenetic position of Peucedanum sensu lato and allied genera and their placement in tribe Selineae (Apiaceae, subfamily Apioideae). Plant Systematics and Evolution 243(3-4): 189-210.
596	Stanich, N. A., G. W. Rothwell, R. A. Stockey (2009). Phylogenetic diversification of Equisetum (Equisetales) as inferred from lower crateceous species of British Columbia, Canada. American Journal of Botany 96(7): 1289-1299.
597	Starr, J. R. and B. A. Ford (2009). Phylogeny and evolution in Cariceae (Cyperaceae): current knowledge and future directions. Botanical Review 75(1): 110-137.
598	Starr, J. R., S. A. Harris, D. A. Simpson (2004). Phylogeny of the unispicate taxa in Cyperaceae tribe Cariceae I: Generic relationships and evolutionary scenarios. Systematic Botany 29(3): 528-544.
599	Steele, K. P., S. M. Ickert-Bond, S. Zarre, M. F. Wojciechowski (2010). Phylogeny and character evolution in Medicago (Leguminosae): Evidence from analyses of plastid trnK/matK and nuclear GA3ox1 sequences. American Journal of Botany 97(7): 1142-1155.
600	Steele, K. P. and M. F. Wojciechowski (2003). Phylogenetic reconstruction of tribes Trifolieae and Vicieae, based on sequences of the plastic gene matK (Papilionoideae: Leguminosae). Advances in Legume Systematics. B. B. Klitgaard and A. Bruneau. Kew, Royal Botanic Garden. 10: 355-370.
601	Stefanovic, S., L. Krueger, R. G. Olmstead (2002). Monophyly of the Convolvulaceae and circumscription of their major lineages based on DNA sequences of multiple chloroplast loci. American Journal of Botany 89(9): 1510-1522.
602	Stefanovic, S., M. Kuzmina, M. Costea (2007). Delimitation of major lineages within Cuscuta subgenus Grammica (Convolvulaceae) using plastid and nuclear DNA sequences. American Journal of Botany 94: 568-589.
603	Stefanovic, S., B. E. Pfeil, J. D. Palmer, J. J. Doyle (2009). Relationships among phaseoloid legumes based on sequences from eight chloroplast regions. Systematic Botany 34(1): 115-128.
604	Steinmann, V. W. and J. M. Porter (2002). Phylogenetic relationships in Euphorbieae (Euphorbiaceae) based on its and ndhF sequence data. Annals of the Missouri Botanical Garden 89(4): 453-490.
605	Stensvold, M. C. (2008). A taxonomic and phylogeographic study of the Botrychium lunaria complex. Ames, Iowa, Iowa State University. PhD.
606	Struwe, L., J. W. Kadereit, J. Klackenberg, S. Nilsson, M. Thiv, K. B. von Hagen, V. A. Albert (2002). Systematics, character evolution, and biogeography of Gentianaceae, including a new tribal and subtribal classification. Gentianaceae: Systematics and Natural History. L. Struwe and V. A. Albert. Cambridge, Cambridge University Press: 21-309.
607	Sun, H., W. McLewin, M. F. Fay (2001). Molecular phylogeny of Helleborus (Ranunculaceae), with an emphasis on the East Asian-Mediterranean disjunction. Taxon 50(4): 1001-1018.
608	Sun, Y., A. Wang, D. Wan, Q. Wang, J. Liu (2012). Rapid radiation of Rheum (Polygonaceae) and parallel evolution of morphological traits. Molecular Phylogenetics and Evolution 63(1): 150-158.
609	Susanna, A. and N. Garcia-Jacas (2009). Cardueae (Carduoideae). Systematics, Evolution and Biogeography of Compositae. V. A. Funk, A. Susanna, T. F. Stuessy and R. J. Bayer. Vienna, Austria, IAPT: 294-313.
610	Susanna, A., N. Garcia-Jacas, O. Hidalgo, R. Vilatersana, T. Garnatje (2006). The Cardueae (Compositae) revisited: Insights from ITS, trnL-trnF, and matK nuclear and chloroplast DNA analysis. Annals of the Missouri Botanical Garden 93: 150-171.
611	Sweeney, P. W. and R. A. Price (2000). Polyphyly of the genus Dentaria (Brassicaceae): Evidence from trnL intron and ndhF sequence data. Systematic Botany 25: 468-478.
612	Sytsma, K. J., A. Litt, M. L. Zjhra, J. C. Pires, M. Nepokroeff, E. Conti, J. Walker, P. G. Wilson (2004). Clades, clocks, and continents: Historical and biogeographical analysis of Myrtaceae, Vochysiaceae, and relatives in the southern hemisphere. International Journal of Plant Sciences 165(S4): S85-S105.
613	t´Hart, H. (1991). Evolution and classification of the European Sedum species (Crassulaceae). Flora Mediterranea 2: 31-61.
614	Takamatsu, S. and S. Matsuda (2004). Estimation of molecular clocks for ITS and 28S rDNA in Erysiphales. Mycoscience 45(5): 340-344.
615	Talavera, M., F. Balao, R. Casimiro-Soriguer, M. Ã. Ortiz, A. Terrab, M. Arista, P. L. Ortiz, T. F. Stuessy, S. Talavera (2011). Molecular phylogeny and systematics of the highly polymorphic Rumex bucephalophorus complex (Polygonaceae). Molecular Phylogenetics and Evolution 61(3): 659-670.
616	Tanaka, N., H. Setoguchi, J. Murata (1997). Phylogeny of the family Hydrocharitaceae inferred from rbcL and matK gene sequence data. Journal of Plant Research 110(3): 329-337.
617	Tank, D. C., P. M. Beardsley, S. A. Kelchner, R. G. Olmstead (2006). Review of the systematics of Scrophulariaceae s.l. and their current disposition. Australian Systematic Botany 19(4): 289-307.
618	Tate, J. A., J. F. Aguilar, S. J. Wagstaff, J. C. La Duke, T. A. B. Slotta, B. B. Simpson (2005). Phylogenetic relationships within the tribe Malveae (Malvaceae, subfamily Malvoideae) as inferred from its sequence data. American Journal of Botany 92(4): 584-602.
619	Tesitel, J., P. Riha, S. Svobodova, T. Malinova, M. Stech (2010). Phylogeny, life history evolution and biogeography of the rhinanthoid Orobanchaceae. Folia Geobotanica 45(4): 347-367.
620	Theis, N., M. J. Donoghue, J. H. Li (2008). Phylogenetics of the Caprifolieae and Lonicera (Dipsacales) Based on Nuclear and Chloroplast DNA Sequences. Systematic Botany 33(4): 776-783.
621	Thiede, J. and U. Eggli (2007). Crassulaceae. The Families and Genera of Vascular Plants. IX Flowering Plants • EudicotsBerberidopsidales, Buxales, Crossomatales, Fabales p.p., Geraniales, Gunnerales, Myrtales p.p., Proteales, Saxifragales, Vitales, Zygophyllales, Clusiaceae alliance, Passifloraceae alliance, Dilleniaceae, Huaceae, Picramniaceae, Sabiaceae. K. Kubitzki. Berlin, Springer: 83-118.
622	Thiv, M., M. Thulin, M. Hjertson, M. Kropf, H. P. Linder (2010). Evidence for a vicariant origin of Macaronesian-Eritreo/Arabian disjunctions in Campylanthus Roth (Plantaginaceae). Molecular Phylogenetics and Evolution 54(2): 607-616.
623	Tippery, N. P., D. H. Les, D. J. Padgett, S. W. L. Jacobs (2008). Generic circumscription in Menyanthaceae: A phylogenetic evaluation. Systematic Botany 33(3): 598-612.
624	Tkach, N. V., M. H. Hoffmann, M. Röser, A. A. Korobkov, K. B. von Hagen (2008). Parallel evolutionary patterns in multiple lineages of arctic Artemisia L. (Asteraceae). Evolution 62(1): 184-198.
625	Tkach, N. V., M. H. Hoffmann, M. Roser, K. B. von Hagen (2008). Temporal patterns of evolution in the Arctic explored in Artemisia L. (Asteraceae) lineages of different age. Plant Ecology & Diversity 1(2): 161-169.
626	Tremetsberger, K., H. Weiss-Schneeweiss, T. Stuessy, R. Samuel, G. Kadlec, M. A. Ortiz, S. Talavera (2005). Nuclear ribosomal DNA and karyotypes indicate a NW African origin of South American Hypochaeris (Asteraceae, Cichorieae). Molecular Phylogenetics and Evolution 35(1): 102-116.
627	Triest, L. and B. Roelandt (1991). Isozymes in diploid and polyploid Alisma species (Alismataceae). Isozymes in Water Plants. L. Triest: 27-36.
628	Trift, I., M. Kallersjo, A. A. Anderberg (2002). The monophyly of Primula (Primulaceae) evaluated by analysis of sequences from the chloroplast gene rbcL. Systematic Botany 27(2): 396-407.
629	Trybush, S., S. Jahodova, W. Macalpine, A. Karp (2008). A genetic study of a Salix germplasm resource reveals new insights into relationships among subgenera, sections and species. BioEnergy Research 1(1): 67-79.
630	Tu, T., S. Volis, M. O. Dillon, H. Sun, J. Wen (2010). Dispersals of Hyoscyameae and Mandragoreae (Solanaceae) from the New World to Eurasia in the early Miocene and their biogeographic diversification within Eurasia. Molecular Phylogenetics and Evolution 57(3): 1226-1237.
631	Turini, F. G., C. Bräuchler, G. Heubl (2010). Phylogenetic relationships and evolution of morphological characters in Ononis L. (Fabaceae). Taxon 59(4): 1077-1090.
632	Tuskan, G.S. DiFazioS. JanssonJ. BohlmannI. GrigorievU. HellstenN. PutnamS. RalphS. RombautsA. SalamovJ. ScheinL. SterckA. AertsR. BhaleraoR. BhaleraoD. BlaudezW. BoerjanA. BrunA. BrunnerV. BusovM. CampbellJ. CarlsonM. ChalotJ. ChapmanG. ChenD. CooperP. CoutinhoJ. CouturierS. CovertQ. CronkR. CunninghamJ. DavisS. DegroeveA. DejardinC. DepamphilisJ. DetterB. DirksI. DubchakS. DuplessisJ. EhltingB. EllisK. GendlerD. GoodsteinM. GribskovJ. GrimwoodA. GrooverL. GunterB. HambergerB. HeinzeY. HelariuttaB. HenrissatD. HolliganR. HoltW. HuangN. Islam-FaridiS. JonesM. Jones-RhoadesR. JorgensenC. JoshiJ. KangasjarviJ. KarlssonC. KelleherR. KirkpatrickM. KirstA. KohlerU. KalluriF. LarimerJ. Leebens-MackJ. LepleP. LocascioY. LouS. LucasF. MartinB. MontaniniC. NapoliD. NelsonC. NelsonK. NieminenO. NilssonV. PeredaG. PeterR. PhilippeG. PilateA. PoliakovJ. RazumovskayaP. RichardsonC. RinaldiK. RitlandP. RouzeD. RyaboyJ. SchmutzJ. SchraderB. SegermanH. ShinA. SiddiquiF. SterkyA. TerryC. TsaiE. UberbacherP. UnnebergJ. VahalaK. WallS. WesslerG. YangT. YinC. DouglasM. MarraG. SandbergY. de Peer and D. Rokhsar (2006). The genome of black cottonwood, Populus trichocarpa (Torr. & Gray). Science 313(5793): 1596 - 1604.
633	Urbatsch, L. E., B. G. Baldwin, M. J. Donoghue (2000). Phylogeny of the coneflowers and relatives (Heliantheae : Asteraceae) based on nuclear rDNA internal transcribed spacer (ITS) sequences and chlorplast DNA restriction site data. Systematic Botany 25: 539-565.
634	Valente, L. M., V. Savolainen, J. C. Manning, P. Goldblatt, P. Vargas (2011). Explaining disparities in species richness between Mediterranean floristic regions: a case study in Gladiolus (Iridaceae). Global Ecology and Biogeography 20(6): 881-892.
635	Valente, L. M., V. Savolainen, P. Vargas (2010). Unparalleled rates of species diversification in Europe. Proceedings of the Royal Society B: Biological Sciences.
636	Van den heede, C. J., R. L. L. Viane, M. W. Chase (2003). Phylogenetic analysis of Asplenium subgenus Ceterach (Pteridophyta: Aspleniaceae) based on plastid and nuclear ribosomal ITS DNA sequences. American Journal of Botany 90(3): 481-495.
637	van den Hof, K., R. G. van den Berg, B. Gravendeel (2008). Chalcone Synthase Gene Lineage Diversification Confirms Allopolyploid Evolutionary Relationships of European Rostrate Violets. Molecular Biology and Evolution 25(10): 2099-2108.
638	van Ham, R. C. H. J. and H. t´Hart (1998). Phylogenetic relationships in the Crassulaceae inferred from chloroplast DNA restriction-site variation. American Journal of Botany 85: 123-134.
639	van Raamsdonk, L. W. D., M. Vrielink-van Glinkel, C. Kik (2000). Phylogeny reconstruction and hybrid analysis in Allium subgenus Rhizirideum. Theoretical and Applied Genetics 100: 1000-1009.
640	Vargas, P. (2000). A phylogenetic study of Saxifraga sect. Saxifraga (Saxifragaceae) based on nrDNA ITS sequences. Plant Systematics and Evolution 223: 59-70.
641	Vargas, P., E. Carrió, B. Guzmán, E. Amat, J. Guemes (2009). A geographical pattern of Antirrhinum (Scrophulariaceae) speciation since the Pliocene based on plastid and nuclear DNA polymorphisms. Journal of Biogeography 36(7): 1297-1312.
642	Vargas, P., J. A. Rossello, R. Oyama, J. Guemes (2004). Molecular evidence for naturalness of genera in the tribe Antirrhineae (Scrophulariaceae) and three independent evolutionary lineages from the New World and the Old. Plant Systematics and Evolution 249(3-4): 151-172.
643	Vicentini, A., J. C. Barber, S. S. Aliscioni, L. M. Giussani, E. A. Kellogg (2008). The age of the grasses and clusters of origins of C-4 photosynthesis. Global Change Biology 14(12): 2963-2977.
644	Vidal-Russell, R. and D. L. Nickrent (2008). Evolutionary relationships in the showy mistletoe family (Loranthaceae). American Journal of Botany 95(8): 1015-1029.
645	Vidal-Russell, R. and D. L. Nickrent (2008). The first mistletoes: origins of aerial parasitism in Santalales. Molecular Phylogenetics and Evolution 47(2): 523-37.
646	Vinnersten, A. and K. Bremer (2001). Age and biogeography of major clades in Liliales. American Journal of Botany 88(9): 1695-1703.
647	Volz, S. M. and S. S. Renner (2008). Hybridization, polyploidy, and evolutionary transitions between monoecy and dioecy in Bryonia (Cucurbitaceae). American Journal of Botany 95(10): 1297-1306.
648	von Balthazar, M., P. K. Endress, Y. L. Qiu (2000). Phylogenetic relationships in Buxaceae based on nuclear internal transcribed spacers and plastid ndhF sequences. International Journal of Plant Sciences 161(5): 785-792.
649	von Hagen, K. B. and J. W. Kadereit (2001). The phylogeny of Gentianella (Gentianaceae) and its colonization of the southern hemisphere as revealed by nuclear and chloroplast DNA sequence variation. Organisms Diversity & Evolution 1: 61-79.
650	von Hagen, K. B. and J. W. Kadereit (2002). Phylogeny and flower evolution of the Swertiinae (Gentianaceae- Gentianeae): Homoplasy and the principle of variable proportions. Systematic Botany 27(3): 548-572.
651	Wachowiak, W., A. E. Palmé, O. Savolainen (2011). Speciation history of three closely related pines Pinus mugo (T.), P. uliginosa (N.) and P. sylvestris (L.). Molecular Ecology 20(8): 1729-1743.
652	Wagstaff, S. J., M. J. Bayly, P. J. Garnock-Jones, D. C. Albach (2002). Classification, origin, and diversification of the New Zealand Hebes (Scrophulariaceae). Annals of the Missouri Botanical Garden 89(1): 38-63.
653	Wagstaff, S. J., I. Breitwieser, U. Swenson (2006). Origin and relationships of the austral genus Abrotanella (Asteraceae) inferred from DNA sequences. Taxon 55(1): 95-106.
654	Wagstaff, S. J., L. Hickerson, R. Spangler, P. A. Reeves, R. G. Olmstead (1998). Phylogeny in Labiatae s.l., inferred from cpDNA sequences. Plant Systematics and Evolution 209(3-4): 265-274.
655	Walker, J. B., K. J. Sytsma, J. Treutlein, M. Wink (2004). Salvia (Lamiaceae) is not monophyletic: implications for the systematics, radiation, and ecological specializations of Salvia and tribe Mentheae. American Journal of Botany 91(7): 1115-1125.
656	Wallander, E. and V. A. Albert (2000). Phylogeny and classification of Oleaceae based on rps16 and  trnL-F sequence data. American Journal of Botany 87: 1827-1841.
